Format,LMUTelemetry v2
Version,1
Player,
TrackName,
CarName,
SessionUTC,2025-11-19T13:33:55Z
LapTime [s],0.000
TrackLen [m],0.00
GameVersion,1.0
Event,Practice

LapDistance [m],LapTime [s],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Y [m],Z [m]
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
